city,country,booking_url,booking_pppn
Tokyo,JP,https://randomcatgifs.com/,159.21
Jakarta,ID,https://randomcatgifs.com/,61.76
Guangzhou,CN,https://randomcatgifs.com/,56.19
Mumbai,IN,https://randomcatgifs.com/,115.67
Manila,PH,https://randomcatgifs.com/,63.27
Shanghai,CN,https://randomcatgifs.com/,161.93
Sao Paulo,BR,https://randomcatgifs.com/,105.59
Seoul,KR,https://randomcatgifs.com/,121.44
Mexico City,MX,https://randomcatgifs.com/,31.12
Cairo,EG,https://randomcatgifs.com/,33.36
New York,US,https://randomcatgifs.com/,43.2
Dhaka,BD,https://randomcatgifs.com/,108.91
Beijing,CN,https://randomcatgifs.com/,198.45
Kolkata,IN,https://randomcatgifs.com/,162.27
Bangkok,TH,https://randomcatgifs.com/,42.59
Shenzhen,CN,https://randomcatgifs.com/,70.94
Moscow,RU,https://randomcatgifs.com/,82.32
Buenos Aires,AR,https://randomcatgifs.com/,145.29
Lagos,NG,https://randomcatgifs.com/,105.84
Istanbul,TR,https://randomcatgifs.com/,110.5
Karachi,PK,https://randomcatgifs.com/,142.62
Bangalore,IN,https://randomcatgifs.com/,33.7
Ho Chi Minh City,VN,https://randomcatgifs.com/,47.66
Osaka,JP,https://randomcatgifs.com/,51.18
Chengdu,CN,https://randomcatgifs.com/,112.95
Tehran,IR,https://randomcatgifs.com/,98.96
Kinshasa,CD,https://randomcatgifs.com/,74.08
Rio de Janeiro,BR,https://randomcatgifs.com/,52.76
Chennai,IN,https://randomcatgifs.com/,112.81
Xi'an,CN,https://randomcatgifs.com/,153.42
Lahore,PK,https://randomcatgifs.com/,66.63
Chongqing,CN,https://randomcatgifs.com/,105.02
Los Angeles,US,https://randomcatgifs.com/,136.78
London,GB,https://randomcatgifs.com/,124.85
Paris,FR,https://randomcatgifs.com/,46.72
Linyi,CN,https://randomcatgifs.com/,185.91
Hyderabad,IN,https://randomcatgifs.com/,147.65
Tianjin,CN,https://randomcatgifs.com/,109.73
Lima,PE,https://randomcatgifs.com/,145.92
Wuhan,CN,https://randomcatgifs.com/,133.82
