File: formStyles.css, Line: 128, Class:   .flight-price-slider, Attribute: width
File: formStyles.css, Line: 133, Class:   .flight-price-slider, Attribute: width
File: formStyles.css, Line: 107, Class: .accom-and-sort, Attribute: display
File: formStyles.css, Line: 117, Class: .accom-and-sort, Attribute: display
File: mobileStyles.css, Line: 15, Class: .card, Attribute: box-shadow
File: tableStyles.css, Line: 44, Class: .card, Attribute: box-shadow
File: tableStyles.css, Line: 127, Class: .card, Attribute: box-shadow
File: mobileStyles.css, Line: 18, Class: .card, Attribute: scroll-snap-align
File: tableStyles.css, Line: 126, Class: .card, Attribute: scroll-snap-align
File: tableStyles.css, Line: 45, Class: .card, Attribute: overflow
File: tableStyles.css, Line: 130, Class: .card, Attribute: overflow
File: mobileStyles.css, Line: 16, Class: .card, Attribute: background-color
File: tableStyles.css, Line: 42, Class: .card, Attribute: background-color
File: tableStyles.css, Line: 43, Class: .card, Attribute: border-radius
File: tableStyles.css, Line: 133, Class: .card, Attribute: border-radius
File: tableStyles.css, Line: 35, Class: .desktop-card-grid, Attribute: grid-template-columns
File: tableStyles.css, Line: 197, Class: .desktop-card-grid, Attribute: grid-template-columns
File: tableStyles.css, Line: 37, Class: .desktop-card-grid, Attribute: margin
File: tableStyles.css, Line: 213, Class: .desktop-card-grid, Attribute: margin
File: tableStyles.css, Line: 205, Class: .desktop-card-grid, Attribute: font-size
File: tableStyles.css, Line: 212, Class: .desktop-card-grid, Attribute: font-size
File: mobileStyles.css, Line: 64, Class:   .weather-icon, Attribute: margin-right
File: mobileStyles.css, Line: 90, Class:   .weather-icon, Attribute: margin-right
File: mobileStyles.css, Line: 80, Class:   .weather-icon, Attribute: text-decoration
File: mobileStyles.css, Line: 85, Class:   .weather-icon, Attribute: text-decoration
File: mobileStyles.css, Line: 68, Class:   .weather-icon, Attribute: display
File: mobileStyles.css, Line: 81, Class:   .weather-icon, Attribute: display
File: styles.css, Line: 247, Class: .form-group, Attribute: width
File: styles.css, Line: 252, Class: .form-group, Attribute: width
File: styles.css, Line: 259, Class: .form-group, Attribute: width
File: styles.css, Line: 272, Class: .form-group, Attribute: width
File: styles.css, Line: 267, Class: .form-group, Attribute: border
File: styles.css, Line: 277, Class: .form-group, Attribute: border
File: styles.css, Line: 269, Class: .form-group, Attribute: background-color
File: styles.css, Line: 275, Class: .form-group, Attribute: background-color
File: styles.css, Line: 270, Class: .form-group, Attribute: font-size
File: styles.css, Line: 276, Class: .form-group, Attribute: font-size
File: styles.css, Line: 341, Class:   .combinedPrice-slider, Attribute: font-size
File: styles.css, Line: 346, Class:   .combinedPrice-slider, Attribute: font-size
File: styles.css, Line: 351, Class:   .combinedPrice-slider, Attribute: font-size
File: styles.css, Line: 364, Class:   .combinedPrice-slider, Attribute: font-size
File: styles.css, Line: 356, Class:   .combinedPrice-slider, Attribute: height
File: styles.css, Line: 366, Class:   .combinedPrice-slider, Attribute: height
File: styles.css, Line: 335, Class:   .combinedPrice-slider, Attribute: display
File: styles.css, Line: 376, Class:   .combinedPrice-slider, Attribute: display
File: styles.css, Line: 355, Class:   .combinedPrice-slider, Attribute: width
File: styles.css, Line: 361, Class:   .combinedPrice-slider, Attribute: width
File: styles.css, Line: 372, Class:   .combinedPrice-slider, Attribute: width
File: formStyles.css, Line: 83, Class: .flight-price-slider, Attribute: padding
File: formStyles.css, Line: 88, Class: .flight-price-slider, Attribute: padding
File: formStyles.css, Line: 96, Class: .flight-price-slider, Attribute: padding
File: formStyles.css, Line: 87, Class: .flight-price-slider, Attribute: margin-bottom
File: formStyles.css, Line: 95, Class: .flight-price-slider, Attribute: margin-bottom
File: formStyles.css, Line: 76, Class: .flight-price-slider, Attribute: width
File: formStyles.css, Line: 90, Class: .flight-price-slider, Attribute: width
File: formStyles.css, Line: 77, Class: .flight-price-slider, Attribute: display
File: formStyles.css, Line: 82, Class: .flight-price-slider, Attribute: display
File: formStyles.css, Line: 86, Class: .flight-price-slider, Attribute: display
File: formStyles.css, Line: 94, Class: .flight-price-slider, Attribute: display
File: tableStyles.css, Line: 249, Class: .header-content, Attribute: display
File: tableStyles.css, Line: 269, Class: .header-content, Attribute: display
File: tableStyles.css, Line: 280, Class: .header-content, Attribute: display
File: tableStyles.css, Line: 292, Class: .header-content, Attribute: display
File: tableStyles.css, Line: 250, Class: .header-content, Attribute: align-items
File: tableStyles.css, Line: 271, Class: .header-content, Attribute: align-items
File: tableStyles.css, Line: 286, Class: .header-content, Attribute: opacity
File: tableStyles.css, Line: 293, Class: .header-content, Attribute: opacity
File: tableStyles.css, Line: 221, Class:   .desktop-card-grid, Attribute: width
File: tableStyles.css, Line: 238, Class:   .desktop-card-grid, Attribute: width
File: tableStyles.css, Line: 236, Class:   .desktop-card-grid, Attribute: opacity
File: tableStyles.css, Line: 243, Class:   .desktop-card-grid, Attribute: opacity
File: tableStyles.css, Line: 218, Class:   .desktop-card-grid, Attribute: display
File: tableStyles.css, Line: 233, Class:   .desktop-card-grid, Attribute: display
File: tableStyles.css, Line: 242, Class:   .desktop-card-grid, Attribute: display
File: styles.css, Line: 288, Class:   .nav-button, Attribute: width
File: styles.css, Line: 293, Class:   .nav-button, Attribute: width
File: formStyles.css, Line: 31, Class: .remove-city-button, Attribute: background-color
File: formStyles.css, Line: 40, Class: .remove-city-button, Attribute: background-color
File: formStyles.css, Line: 44, Class: .remove-city-button, Attribute: background-color
File: formStyles.css, Line: 36, Class: .remove-city-button, Attribute: cursor
File: formStyles.css, Line: 47, Class: .remove-city-button, Attribute: cursor
File: formStyles.css, Line: 61, Class: .remove-city-button, Attribute: cursor
File: formStyles.css, Line: 65, Class: .remove-city-button, Attribute: cursor
File: formStyles.css, Line: 69, Class: .remove-city-button, Attribute: cursor
File: formStyles.css, Line: 72, Class: .remove-city-button, Attribute: cursor
File: styles.css, Line: 586, Class: .clickable, Attribute: flex-direction
File: styles.css, Line: 595, Class: .clickable, Attribute: flex-direction
File: tableStyles.css, Line: 100, Class: .clickable, Attribute: flex-direction
File: styles.css, Line: 604, Class: .clickable, Attribute: background-color
File: styles.css, Line: 619, Class: .clickable, Attribute: background-color
File: tableStyles.css, Line: 105, Class: .clickable, Attribute: background-color
File: styles.css, Line: 534, Class: .clickable, Attribute: text-decoration
File: styles.css, Line: 538, Class: .clickable, Attribute: text-decoration
File: tableStyles.css, Line: 88, Class: .clickable, Attribute: text-decoration
File: tableStyles.css, Line: 93, Class: .clickable, Attribute: text-decoration
File: styles.css, Line: 546, Class: .clickable, Attribute: display
File: styles.css, Line: 554, Class: .clickable, Attribute: display
File: styles.css, Line: 585, Class: .clickable, Attribute: display
File: styles.css, Line: 594, Class: .clickable, Attribute: display
File: styles.css, Line: 550, Class: .clickable, Attribute: transition
File: styles.css, Line: 613, Class: .clickable, Attribute: transition
File: styles.css, Line: 608, Class: .clickable, Attribute: font-family
File: tableStyles.css, Line: 106, Class: .clickable, Attribute: font-family
File: styles.css, Line: 533, Class: .clickable, Attribute: color
File: styles.css, Line: 607, Class: .clickable, Attribute: color
File: tableStyles.css, Line: 87, Class: .clickable, Attribute: color
File: styles.css, Line: 556, Class: .clickable, Attribute: animation
File: styles.css, Line: 572, Class: .clickable, Attribute: animation
File: styles.css, Line: 561, Class: .clickable, Attribute: transform
