city,country,date,avg_daytime_temp,weather_icon,google_url,avg_daytime_wpi
Aachen,DE,2024-09-16,17.5,https://openweathermap.org/img/w/04d.png,https://www.google.com/search?q=weather+Aachen%2C+DE,6.6
Aachen,DE,2024-09-17,19.1,https://openweathermap.org/img/w/03d.png,https://www.google.com/search?q=weather+Aachen%2C+DE,7.5
Aachen,DE,2024-09-18,21.6,https://openweathermap.org/img/w/04d.png,https://www.google.com/search?q=weather+Aachen%2C+DE,8.0
Aachen,DE,2024-09-19,21.4,https://openweathermap.org/img/w/03d.png,https://www.google.com/search?q=weather+Aachen%2C+DE,8.3
Aachen,DE,2024-09-20,19.9,https://openweathermap.org/img/w/01d.png,https://www.google.com/search?q=weather+Aachen%2C+DE,8.2
Aachen,DE,2024-09-21,20.1,https://openweathermap.org/img/w/03d.png,https://www.google.com/search?q=weather+Aachen%2C+DE,7.9
Aalborg,DK,2024-09-16,16.5,https://openweathermap.org/img/w/04d.png,https://www.google.com/search?q=weather+Aalborg%2C+DK,6.2
Aalborg,DK,2024-09-17,18.8,https://openweathermap.org/img/w/04d.png,https://www.google.com/search?q=weather+Aalborg%2C+DK,7.4
Aalborg,DK,2024-09-18,19.8,https://openweathermap.org/img/w/02d.png,https://www.google.com/search?q=weather+Aalborg%2C+DK,7.6
Aalborg,DK,2024-09-19,20.1,https://openweathermap.org/img/w/01d.png,https://www.google.com/search?q=weather+Aalborg%2C+DK,8.8
Aalborg,DK,2024-09-20,20.8,https://openweathermap.org/img/w/01d.png,https://www.google.com/search?q=weather+Aalborg%2C+DK,8.4
Aalborg,DK,2024-09-21,19.8,https://openweathermap.org/img/w/04d.png,https://www.google.com/search?q=weather+Aalborg%2C+DK,7.7
Aarhus,DK,2024-09-16,19.1,https://openweathermap.org/img/w/04d.png,https://www.google.com/search?q=weather+Aarhus%2C+DK,7.4
Aarhus,DK,2024-09-17,18.7,https://openweathermap.org/img/w/04d.png,https://www.google.com/search?q=weather+Aarhus%2C+DK,7.2
Aarhus,DK,2024-09-18,20.2,https://openweathermap.org/img/w/03d.png,https://www.google.com/search?q=weather+Aarhus%2C+DK,8.2
Aarhus,DK,2024-09-19,20.0,https://openweathermap.org/img/w/01d.png,https://www.google.com/search?q=weather+Aarhus%2C+DK,8.7
Aarhus,DK,2024-09-20,20.0,https://openweathermap.org/img/w/02d.png,https://www.google.com/search?q=weather+Aarhus%2C+DK,7.7
Aarhus,DK,2024-09-21,18.3,https://openweathermap.org/img/w/04d.png,https://www.google.com/search?q=weather+Aarhus%2C+DK,7.0
Aasiaat,GL,2024-09-16,-0.3,https://openweathermap.org/img/w/04d.png,https://www.google.com/search?q=weather+Aasiaat%2C+GL,2.5
Aasiaat,GL,2024-09-17,-2.2,https://openweathermap.org/img/w/04d.png,https://www.google.com/search?q=weather+Aasiaat%2C+GL,2.5
Aasiaat,GL,2024-09-18,-4.4,https://openweathermap.org/img/w/03d.png,https://www.google.com/search?q=weather+Aasiaat%2C+GL,2.4
Aasiaat,GL,2024-09-19,-3.8,https://openweathermap.org/img/w/03n.png,https://www.google.com/search?q=weather+Aasiaat%2C+GL,2.6
Aasiaat,GL,2024-09-20,-1.8,https://openweathermap.org/img/w/04n.png,https://www.google.com/search?q=weather+Aasiaat%2C+GL,2.7
Aasiaat,GL,2024-09-21,-2.2,https://openweathermap.org/img/w/04n.png,https://www.google.com/search?q=weather+Aasiaat%2C+GL,2.4
Abadan,IR,2024-09-16,40.7,https://openweathermap.org/img/w/01n.png,https://www.google.com/search?q=weather+Abadan%2C+IR,3.4
Abadan,IR,2024-09-17,40.4,https://openweathermap.org/img/w/01d.png,https://www.google.com/search?q=weather+Abadan%2C+IR,3.9
Abadan,IR,2024-09-18,40.7,https://openweathermap.org/img/w/01d.png,https://www.google.com/search?q=weather+Abadan%2C+IR,3.2
Abadan,IR,2024-09-19,38.9,https://openweathermap.org/img/w/01d.png,https://www.google.com/search?q=weather+Abadan%2C+IR,3.7
Abadan,IR,2024-09-20,39.7,https://openweathermap.org/img/w/01d.png,https://www.google.com/search?q=weather+Abadan%2C+IR,3.9
Abadan,IR,2024-09-21,42.0,https://openweathermap.org/img/w/01d.png,https://www.google.com/search?q=weather+Abadan%2C+IR,3.0
Abakan,RU,2024-09-16,5.0,https://openweathermap.org/img/w/01n.png,https://www.google.com/search?q=weather+Abakan%2C+RU,3.6
Abakan,RU,2024-09-17,5.2,https://openweathermap.org/img/w/10d.png,https://www.google.com/search?q=weather+Abakan%2C+RU,2.6
Abakan,RU,2024-09-18,9.3,https://openweathermap.org/img/w/04d.png,https://www.google.com/search?q=weather+Abakan%2C+RU,4.0
Abakan,RU,2024-09-19,10.6,https://openweathermap.org/img/w/01d.png,https://www.google.com/search?q=weather+Abakan%2C+RU,5.5
Abakan,RU,2024-09-20,12.5,https://openweathermap.org/img/w/03d.png,https://www.google.com/search?q=weather+Abakan%2C+RU,5.2
Abakan,RU,2024-09-21,18.5,https://openweathermap.org/img/w/10d.png,https://www.google.com/search?q=weather+Abakan%2C+RU,7.3
Abbotsford,CA,2024-09-16,8.9,https://openweathermap.org/img/w/01d.png,https://www.google.com/search?q=weather+Abbotsford%2C+CA,5.0
Abbotsford,CA,2024-09-17,10.0,https://openweathermap.org/img/w/01n.png,https://www.google.com/search?q=weather+Abbotsford%2C+CA,5.0
Abbotsford,CA,2024-09-18,13.1,https://openweathermap.org/img/w/04n.png,https://www.google.com/search?q=weather+Abbotsford%2C+CA,5.5
Abbotsford,CA,2024-09-19,10.8,https://openweathermap.org/img/w/01n.png,https://www.google.com/search?q=weather+Abbotsford%2C+CA,5.0
